Seasonal Variation (Data Source),Simulation Run Number,T-R Separation Distance (m),Time Delay (ns),Received Power (dBm), Phase (rad),Azimuth AoD (degree),Elevation AoD (degree),Azimuth AoA (degree),Elevation AoA (degree),Path Loss (dB),RMS Delay Spread (ns),Season,Frequency
FallL,1,216.4,721,-120.8,3.2,291,-2.1,14.3,-17,150.8,3.5,0,24.25
FallL,1,216.4,725,-127.8,5.6,299,1.4,176.9,18,157.7,1.5,0,24.25
FallL,1,216.4,729,-119.8,1.4,119,-4.4,212.3,5,149.8,0.4,0,24.25
FallL,1,216.4,735,-118.1,2.8,290,-1.2,315.4,-8,148.1,0.8,0,24.25
FallL,1,216.4,741,-126.1,3.1,295,-1.4,207.3,12,156,5,0,24.25
FallL,1,216.4,747,-123.9,5.1,276,-2,332.4,-6,153.9,1.6,0,24.25
FallL,1,216.4,754,-127.4,6.3,92,-6.5,180.2,8,157.2,17.4,0,24.25
FallL,1,216.4,761,-130.6,2.6,292,-1.2,217.3,16,160.2,7.5,0,24.25
FallL,1,216.4,768,-126.1,0.3,134,-5.9,184.9,4,156.1,3,0,24.25
FallL,1,216.4,776,-147.7,5.6,283,5.9,212.6,9,174.9,23,0,24.25
FallL,1,216.4,845,-131.1,5.7,85,-7.1,184.3,4,160.2,34.8,0,24.25
FallL,1,216.4,848,-128.9,0.8,276,1.4,182.7,6,158.9,6.5,0,24.25
FallL,1,216.4,851,-141.2,1.3,90,-7.5,18.9,-7,171.1,16.1,0,24.25
FallL,1,216.4,855,-133.8,3.4,283,0.2,2.4,-3,163.7,14.8,0,24.25
FallL,1,216.4,858,-144.2,3.2,120,-7.4,185.7,4,172.5,50.6,0,24.25
FallL,1,216.4,862,-144.6,3.5,139,-5.6,174.3,4,170.3,45.4,0,24.25
FallL,1,216.4,866,-147.1,0.1,290,0.6,12.4,-10,157.3,15.3,0,24.25
FallL,1,216.4,869,-147.6,4.8,126,-3.8,8.7,-4,177,44.1,0,24.25
FallL,1,216.4,873,-155.9,2.8,127,-8,181.1,7,165.5,16.5,0,24.25
FallL,1,216.4,877,-144.7,2.2,297,-6,212.8,6,166.3,48.3,0,24.25
